Nom station;Commune;insee;ligne;geometry;objectid;geo_point_2d
MAIRIE DE MONS;MONS EN BAROEUL;410;2;"{""type"": ""Point"", ""coordinates"": [3.1100361354255, 50.642321750302]}";1020;50.6423217503,3.11003613543
EPEULE MONTESQUIEU;ROUBAIX;512;2;"{""type"": ""Point"", ""coordinates"": [3.1633450006908, 50.684138251725]}";1028;50.6841382517,3.16334500069
PORTE DES POSTES;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0502351989216, 50.618407401948]}";1043;50.6184074019,3.05023519892
GAMBETTA;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0526946603751, 50.626923035327]}";5;50.6269230353,3.05269466038
MAIRIE D'HELLEMMES;HELLEMMES (LILLE);298;1;"{""type"": ""Point"", ""coordinates"": [3.1089979644496, 50.627073553882]}";12;50.6270735539,3.10899796445
CITE SCIENTIFIQUE PR GABILLARD;VILLENEUVE D'ASCQ;009;1;"{""type"": ""Point"", ""coordinates"": [3.142372730611, 50.61157829499]}";17;50.611578295,3.14237273061
4 CANTONS STADE PIERRE MAUROY;VILLENEUVE D'ASCQ;009;1;"{""type"": ""Point"", ""coordinates"": [3.1390050214264, 50.60534460177]}";18;50.6053446018,3.13900502143
PORTE DE VALENCIENNES;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0788465848365, 50.621045642813]}";1003;50.6210456428,3.07884658484
CORMONTAIGNE;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0402471519973, 50.626189421219]}";1007;50.6261894212,3.040247152
PORT DE LILLE;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0357219815218, 50.629883151345]}";1008;50.6298831513,3.03572198152
MONS SART;MONS EN BAROEUL;410;2;"{""type"": ""Point"", ""coordinates"": [3.0992459199391, 50.642112147613]}";1019;50.6421121476,3.09924591994
MAIRIE DE CROIX;CROIX;163;2;"{""type"": ""Point"", ""coordinates"": [3.1561488051861, 50.679469545579]}";1027;50.6794695456,3.15614880519
GARE DE TOURCOING;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1625857342276, 50.717258836019]}";1036;50.717258836,3.16258573423
PONT DE NEUVILLE;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1705866352391, 50.736798650875]}";1040;50.7367986509,3.17058663524
GARE LILLE FLANDRES;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.070986975543, 50.63745511401]}";1044;50.637455114,3.07098697554
WASQUEHAL PAVE DE LILLE;WASQUEHAL;646;2;"{""type"": ""Point"", ""coordinates"": [3.1297877806961, 50.663845081674]}";1024;50.6638450817,3.1297877807
CHU CENTRE OSCAR LAMBRET;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.036355327884, 50.613177683391]}";2;50.6131776834,3.03635532788
SQUARE FLANDRES;HELLEMMES (LILLE);298;1;"{""type"": ""Point"", ""coordinates"": [3.1160483060991, 50.625166410243]}";13;50.6251664102,3.1160483061
VILLENEUVE D'ASCQ HOTEL DE VILLE;VILLENEUVE D'ASCQ;009;1;"{""type"": ""Point"", ""coordinates"": [3.1308012477689, 50.619180161032]}";15;50.619180161,3.13080124777
TRIOLO;VILLENEUVE D'ASCQ;009;1;"{""type"": ""Point"", ""coordinates"": [3.1406254403258, 50.616893725495]}";16;50.6168937255,3.14062544033
PONT SUPERIEUR;LOMME (LILLE);355;2;"{""type"": ""Point"", ""coordinates"": [3.0138946533497, 50.644383500957]}";1012;50.644383501,3.01389465335
MAISON DES ENFANTS;LOMME (LILLE);355;2;"{""type"": ""Point"", ""coordinates"": [2.995202852676, 50.646313795953]}";1014;50.646313796,2.99520285268
SAINT PHILIBERT;LOMME (LILLE);355;2;"{""type"": ""Point"", ""coordinates"": [2.9742572014525, 50.652108723767]}";1016;50.6521087238,2.97425720145
SAINT MAURICE PELLEVOISIN;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0886615872234, 50.642305453295]}";1018;50.6423054533,3.08866158722
GARE JEAN LEBAS ROUBAIX;ROUBAIX;512;2;"{""type"": ""Point"", ""coordinates"": [3.163950788543, 50.695379430727]}";1032;50.6953794307,3.16395078854
MERCURE;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1604733424576, 50.704743107232]}";1034;50.7047431072,3.16047334246
